"","Year","EventType","Actor1","Actor2","Country","Region","Location","ConflictLat","ConflictLong","StationID","YrMoDy","MaxTemp","StationName","StationLong","StationLat","TempCat"
"24339",2001,"Violence against civilians","Military Forces of Ethiopia (1991-)","Civilians (Ethiopia)","Ethiopia","Western Welega","Gori town",9.61,35.31,628050,20010831,88.69,"DAMAZINE",34.38,11.78,"C"
"8126",1999,"Battles","Hausa Ethnic Militia (Nigeria)","Yoruba Ethnic Militia (Nigeria)","Nigeria","Lagos State","Shagamu",6.84,3.65,652010,19990717,78.8,"LAGOS/IKEJA",3.33,6.58,"C"
"26560",1997,"Battles","MFDC: Movement of Democratic Forces in the Casamance","Military Forces of Senegal (1981-2000)","Senegal","Sedhiou","Djibabouya",12.77,-15.97,616950,19971005,90.5,"ZIGUINCHOR",-16.26,12.55,"M"
"11592",2002,"Battles","Military Forces of Burundi (1996-2005)","FNL: National Forces for the Liberation of the Hutu People","Burundi","Bujumbura","Bujumbura",-3.37,29.35,643870,20020116,81,"KIGALI INTL",30.13,-1.96,"M"
"25741",2007,"Violence against civilians","MEND: Movement for the Emancipation of the Niger Delta","Civilians (Foreign)","Nigeria","Rivers State","Port Harcourt",4.78,6.99,648100,20070206,89.59,"MALABO",8.76,3.75,"H"
"6196",2002,"Violence against civilians","ZANU-PF: Zimbabwe African National Union-Patriotic Front Militia","Civilians (Zimbabwe)","Zimbabwe","Mashonaland East","Chitungwiza",-18.78,31.04,678770,20020922,76.8,"GRASSLANDS",31.46,-18.18,"M"
"23425",2008,"Violence against civilians","Unidentified Armed Group (Nigeria)","Civilians (Nigeria)","Nigeria","Imo State","Owerri",5.48,7.03,652500,20080827,87.8,"PORT HARCOURT",7.01,4.84,"M"
"13049",1998,"Battles","Police Forces of Kenya (1978-2002)","Rioters (Kenya)","Kenya","Nairobi District","Nairobi",-1.28,36.81,637420,19980304,82.4,"WILSON",36.81,-1.31,"H"
"12910",2010,"Battles","PUDEMO: Peoples' United Democratic Movement (Swaziland)","Police Forces of Swaziland (1986-)","Swaziland","Manzini District","Manzini",-26.48,31.36,683960,20100907,82,"MANZINI/MATSAPA AIR",31.29,-26.53,"M"
"16938",2005,"Battles","Military Forces of Cameroon (1982-)","Military Forces of Nigeria (1999-2007)","Cameroon","South-West Province","Bakassi Peninsula in Ndian Division",4.56,8.59,648100,20050618,84.19,"MALABO",8.76,3.75,"M"
"27609",2002,"Violence against civilians","SPLA/M: Sudanese People's Liberation Army/Movement","Civilians (Sudan)","Sudan","East Equatoria","Torit",4.41,32.56,629410,20020831,91.4,"JUBA",31.6,4.86,"M"
"23737",2000,"Battles","FNL: National Forces for the Liberation of the Hutu People","Hutu Rebels","Burundi","Bujumbura","Gitenga",-3.52,29.38,643870,20000201,88.19,"KIGALI INTL",30.13,-1.96,"H"
"30178",2007,"Riots","Protesters (DRC)","","Democratic Republic of Congo","Equateur","Mbandaka",0.06,18.26,644590,20070407,93.9,"IMPFONDO",18.06,1.61,"H"
"4780",1997,"Battles","LRA: Lord's Resistance Army","UPDF: Military Forces of Uganda (1986-)","Uganda","Kitgum District","Kitgum",3.27,32.88,636580,19970711,75.19,"SOROTI",33.61,1.71,"C"
"13806",2004,"Battles","Military Forces of Sierra Leone (1998-2007)","Unidentified Armed Group (Sierra Leone)","Sierra Leone","Southern","Gondama",8.3,-11.88,618560,20040913,82.4,"LUNGI",-13.19,8.61,"C"
"11900",2001,"Violence against civilians","Hutu Rebels","Civilians (Burundi)","Burundi","Bururi","Kigwena",-4.14,29.53,638010,20010708,81.3,"KIGOMA",29.66,-4.88,"M"
"14165",2008,"Violence against civilians","Civilians (DRC)","LRA: Lord's Resistance Army","Democratic Republic of Congo","Haut-Uele","Dungu",3.61,28.56,636020,20081019,82.4,"ARUA",30.91,3.04,"M"
"4105",2010,"Violence against civilians","Unidentified Armed Group (Burundi)","Civilians (Burundi)","Burundi","Muramvya","Muramvya",-3.27,29.62,643800,20100629,73.4,"KAMEMBE",28.91,-2.46,"C"
"21734",2002,"Violence against civilians","Military Forces of Ivory Coast (2000-)","Civilians (Ivory Coast)","Ivory Coast","Vavoua","Pelezi",7.28,-6.82,655600,20021217,86.9,"DALOA",-6.46,6.86,"M"
"25797",2007,"Riots","Protesters (Kenya)","","Kenya","Coast Province","Mombasa",-4.05,39.66,638200,20071231,89.59,"MOMBASA",39.61,-4.03,"M"
"20473",2007,"Violence against civilians","Unidentified Armed Group (Nigeria)","Civilians (Nigeria)","Nigeria","Rivers State","Bonny River",4.38,7.09,648100,20071127,86,"MALABO",8.76,3.75,"M"
"31334",2002,"Battles","Karamajong Ethnic Militia (Uganda)","UPDF: Military Forces of Uganda (1986-)","Uganda","Moroto District","Apeitolim",2.49,34.66,636120,20020510,95.19,"LODWAR",35.61,3.11,"M"
"20464",2007,"Riots","Protesters (Somalia)","","Somalia","Woqooyi Galbeed","Hargeysa",9.58,44.06,631700,20070829,86,"HARGEISA",44.08,9.5,"M"
"26080",2003,"Violence against civilians","Police Forces of Zimbabwe  (1980-)","Civilians (Zimbabwe)","Zimbabwe","Bulawayo","Bulawayo",-20.14,28.57,679650,20030104,89.8,"BULAWAYO AIRPORT",28.61,-20.01,"H"
"4418",2000,"Riots","Protesters (Tunisia)","","Algeria","Alger","Algiers",36.76,3.05,603900,20000427,74.3,"DAR-EL-BEIDA",3.21,36.68,"M"
"16715",2003,"Violence against civilians","Police Forces of Ivory Coast (2000-)","Civilians (Ivory Coast)","Ivory Coast","Abidjan","Adjame",5.34,-4.02,655780,20030130,84.19,"ABIDJAN",-3.93,5.25,"M"
"15053",2009,"Violence against civilians","Unidentified Armed Group (South Africa)","Civilians (South Africa)","South Africa","KwaZulu-Natal Province","Phoenix",-29.71,31.01,685830,20091229,83.09,"MOUNT EDGECOMBE",31.04,-29.7,"M"
"6723",2007,"Battles","Luo Ethnic Militia (Kenya)","Kikuyu Ethnic Militia (Kenya)","Kenya","Nairobi District","Kibera Special Settlement Area",-1.31,36.78,637400,20071229,77,"JOMO KENYATTA INTL",36.91,-1.31,"M"
"32193",2003,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Nimba","Ganta",7.23,-8.98,655600,20030402,96.8,"DALOA",-6.46,6.86,"H"
"28622",1998,"Battles","ECOMOG: Economic Community of West African States Monitoring Group (Sierra Leone)","RUF: Revolutionary United Front of Sierra Leone","Sierra Leone","Eastern","Gbendema",7.82,-10.93,618330,19981122,92.3,"FARANAH/BADALA",-10.75,10.03,"M"
"10751",2003,"Violence against civilians","Civilians (Ivory Coast)","Unidentified Armed Group (Ivory Coast)","Ivory Coast","Bangolo","Zou village",6.97,-7.79,655600,20030430,80.59,"DALOA",-6.46,6.86,"C"
"17741",2003,"Violence against civilians","ZNA: Military Forces of Zimbabwe (1980-)","Civilians (Zimbabwe)","Zimbabwe","Mashonaland East","Chitungwiza",-18.78,31.04,677750,20030302,84.59,"HARARE (KUTSAGA)",31.13,-17.91,"M"
"5432",1998,"Violence against civilians","Civilians (Niger)","Unidentified Armed Group (Niger)","Niger","Agadez","Agadez",16.96,7.98,610240,19980110,75.59,"AGADEZ",7.96,16.96,"C"
"35454",2005,"Battles","Dosso Ethnic Militia (Niger)","Dosso Ethnic Militia (Niger)","Niger","Dosso","Dosso",13.04,3.19,610520,20050404,108.5,"NIAMEY-AERO",2.16,13.48,"H"
"33766",2005,"Battles","Military Forces of Sudan (1989-)","African Union Forces (2002-)","Sudan","Northern Darfur","El Fashir",13.63,25.35,627600,20050617,100,"EL FASHER",25.33,13.61,"M"
"35325",2002,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Bahr el Ghazal","Tama",10.33,25.2,627900,20020526,107.19,"NYALA",24.88,12.05,"H"
"22148",1997,"Riots","Protesters (Togo)","","Togo","Maritime","Lome",6.13,1.22,653870,19970920,87.3,"LOME",1.25,6.16,"M"
"16161",1998,"Battles","Police Forces of Niger (1996-1999)","Djermas Ethnic Militia (Niger)","Niger","Niamey","Niamey",13.52,2.11,610520,19980804,84.19,"NIAMEY-AERO",2.16,13.48,"C"
"9073",2006,"Violence against civilians","EPRDF: Ethiopian People's Revolutionary Democratic Front","Civilians (Ethiopia)","Ethiopia","Gonder","Arbaya",12.31,37.83,633310,20061001,79.19,"GONDAR",37.41,12.55,"M"
"33076",1999,"Battles","SSDF-Marchar: South Sudan Defense Forces-Marchar","Military Forces of Sudan (1989-)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628100,19990522,98.59,"KADOGLLI",29.71,11,"M"
"26092",2005,"Riots","Protesters (DRC)","","Democratic Republic of Congo","Kinshasa","Kinshasa",-4.32,15.31,644500,20050910,89.8,"BRAZZAVILLE/MAYA-M",15.25,-4.25,"M"
"23793",2002,"Violence against civilians","Hutu Rebels","Civilians (Burundi)","Burundi","Ruyigi","Nyabitsinda",-3.56,30.27,638010,20020813,88.19,"KIGOMA",29.66,-4.88,"H"
"27330",2006,"Riots","","Protesters (Ivory Coast)","Ivory Coast","Abidjan","Grand Bassam",5.23,-4.43,655780,20061130,91.19,"ABIDJAN",-3.93,5.25,"M"
"26243",2007,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Coast Province","Mombasa",-4.05,39.66,638200,20071222,90,"MOMBASA",39.61,-4.03,"M"
"2475",2000,"Violence against civilians","ZANU-PF: Zimbabwe African National Union-Patriotic Front Militia","Civilians (Zimbabwe)","Zimbabwe","Manicaland","Mutare",-18.96,32.66,678810,20000501,71.09,"RUSAPE",32.13,-18.53,"M"
"15901",2004,"Battles","UPDF: Military Forces of Uganda (1986-)","LRA: Lord's Resistance Army","Uganda","Gulu District","Lalogi",2.76,32.3,636300,20040927,83.8,"GULU",32.33,2.75,"M"
"34970",2008,"Violence against civilians","Military Forces of Chad (1990-)","Civilians (CAR)","Central African Republic","Maitoukoulou","Tira",7.93,17.63,647500,20080229,104.69,"SARH",18.38,9.14,"H"
"19535",1999,"Violence against civilians","Civilians (Angola)","FLEC: Front for the Liberation of the Enclave of Cabinda","Angola","Cabinda","Caio Guembo",-4.58,12.86,644000,19990612,86,"POINTE-NOIRE",11.89,-4.81,"M"
"12987",1997,"Violence against civilians","Unidentified Armed Group (DRC)","Civilians (DRC)","Democratic Republic of Congo","Kivu","Bukavu",-2.5,28.86,643900,19970124,82.4,"BUJUMBURA",29.31,-3.31,"M"
"18158",1998,"Battles","GIA: Armed Islamic Group of Algeria","Military Forces of Algeria (1994-1999)","Algeria","Tlemcen","Tlemcen",34.87,-1.31,605310,19980608,85.09,"TLEMCEN-ZENATA",-1.46,35.01,"M"
"25661",2005,"Riots","Protesters (Cameroon)","","Cameroon","Sud-Ouest","Buea",4.15,9.24,649100,20051215,89.59,"DOUALA OBS.",9.73,4,"M"
"11306",2010,"Riots","COYGG: Coalition of Youth For Good Governance (Nigeria)","","Nigeria","Lagos State","Ikeja",6.59,3.33,652010,20100201,80.59,"LAGOS/IKEJA",3.33,6.58,"C"
"26647",1999,"Riots","Protesters (Burkina Faso)","","Burkina Faso","Kadiogo","Ouagadougou",12.37,-1.52,655030,19990715,90.5,"OUAGADOUGOU",-1.51,12.35,"M"
"1628",2003,"Riots","Protesters (ZNLWVA - National Liberation War Veterans Association Militia)","","Zimbabwe","Manicaland","Chimanimani",-19.79,32.86,679830,20030530,68.4,"CHIPINGE",32.61,-20.2,"C"
"3751",2001,"Violence against civilians","CNDD-FDD: National Council for the Defense of Democracy","Civilians (Tanzania)","Tanzania","Kigoma","Kigoma",-4.87,29.62,638010,20010212,73.4,"KIGOMA",29.66,-4.88,"C"
"9132",2010,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Murle Ethnic Group","Sudan","Upper Nile","Pochala",7.16,34.08,634030,20100203,79.19,"GORE",35.53,8.14,"H"
"14260",2009,"Riots","Protesters (Gabon)","Unidentified Armed Group (Gabon)","Gabon","Estuaire","Libreville",0.39,9.45,645000,20090807,82.4,"LIBREVILLE",9.41,0.44,"M"
"9099",2007,"Battles","Party of National Unity Militia (Kenya)","ODM: Orange Democratic Movement (Kenya)","Kenya","Nairobi District","Kawangware",-1.28,36.73,637400,20071222,79.19,"JOMO KENYATTA INTL",36.91,-1.31,"M"
"8932",1998,"Violence against civilians","Hutu Rebels","Civilians (Rwanda)","Rwanda","Ruhengeri","Ruhengeri",-1.48,29.61,637260,19980410,79.19,"KABALE",29.98,-1.25,"H"
"19025",2009,"Riots","Protesters (WOZA - Women of Zimbabwe Arise)","","Zimbabwe","Bulawayo","Bulawayo",-20.14,28.57,680540,20090214,85.5,"FRANCISTOWN",27.46,-21.14,"M"
"24704",2007,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Kisii District","Kisii",-0.68,34.76,637080,20071107,88.9,"KISUMU",34.75,-0.1,"M"
"18049",2003,"Violence against civilians","ZANU-PF: Zimbabwe African National Union-Patriotic Front Militia","Civilians (Zimbabwe)","Zimbabwe","Harare","Harare Central",-17.83,31.04,677750,20030104,84.9,"HARARE (KUTSAGA)",31.13,-17.91,"H"
"26027",2010,"Violence against civilians","AQLIM: Al-Qaeda in Islamic Maghreb","Civilians (Algeria)","Algeria","Tizi Ouzou","Tigzirt",36.89,4.12,603950,20100725,89.59,"TIZI-OUZOU",4.05,36.7,"M"
"23967",2004,"Violence against civilians","Unidentified Armed Group (Somalia)","Civilians (Somalia)","Somalia","Bay","Baidoa",3.11,43.65,636240,20040707,88.3,"MANDERA",41.86,3.93,"C"
"29903",2002,"Violence against civilians","Military Forces of Ethiopia (1991-)","Civilians (Ethiopia)","Ethiopia","Tigray","Shire",14.13,38.28,627300,20020731,93.59,"KASSALA",36.4,15.46,"M"
"31472",2007,"Battles","RFC: Rally of Forces for Change","Military Forces of Chad (1990-)","Chad","Biltine","Biltine",14.53,20.91,647560,20071206,95.4,"ABECHE",20.85,13.85,"M"
"12740",2000,"Battles","GIA: Armed Islamic Group of Algeria","Military Forces of Algeria (1999-)","Algeria","Constantine","Skikda",36.87,6.9,603550,20000721,82,"SKIKDA",6.9,36.88,"M"
"7953",2003,"Violence against civilians","ZNA: Military Forces of Zimbabwe (1980-)","Civilians (Zimbabwe)","Zimbabwe","Harare","Mabvuku",-17.85,31.18,677750,20030604,78.4,"HARARE (KUTSAGA)",31.13,-17.91,"M"
"34456",2008,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Misseriya Ethnic Militia","Sudan","Southern Kordofan","Al-Tiwaysha",10.08,27.75,628800,20080314,102.19,"WAU",28.01,7.69,"H"
"16784",2003,"Violence against civilians","Unidentified Armed Group (Nigeria)","Civilians (Nigeria)","Nigeria","Ogun State","Sagamu",6.84,3.65,653440,20030908,84.19,"COTONOU",2.38,6.34,"M"
"15767",2006,"Violence against civilians","Unidentified Armed Group (South Africa)","Civilians (South Africa)","South Africa","Eastern Cape Province","Umtata",-31.58,28.78,686680,20060416,83.69,"UMTATA",28.66,-31.53,"M"
"21652",2001,"Riots","Protesters (DRC)","","Democratic Republic of Congo","Nord-Kivu","Butembo",0.15,29.28,636740,20010702,86.9,"KASESE",30.1,0.18,"M"
"25525",2003,"Battles","Ijaw Ethnic Militia (Nigeria)","Urhobo Ethnic Militia (Nigeria)","Nigeria","Delta State","Okwagbe",5.36,5.8,652010,20031022,89.59,"LAGOS/IKEJA",3.33,6.58,"M"
"13823",2005,"Battles","PUDEMO: Peoples' United Democratic Movement (Swaziland)","Police Forces of Swaziland (1986-)","Swaziland","Hhohho District","Mbabane",-26.31,31.13,683960,20050123,82.4,"MANZINI/MATSAPA AIR",31.29,-26.53,"M"
"9342",2003,"Battles","Lendu Ethnic Militia (DRC)","UPC: Union of Congolese Patriots","Democratic Republic of Congo","Maniema","Fataki",-4.19,27.1,638010,20030715,79.5,"KIGOMA",29.66,-4.88,"C"
"31771",2006,"Violence against civilians","Police Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Khartoum","Khartoum",15.54,32.53,627210,20060214,95.9,"KHARTOUM",32.54,15.6,"M"
"22383",2002,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Uganda","Adjumani District","Maaji camp",3.36,31.8,636300,20020708,87.4,"GULU",32.33,2.75,"M"
"15287",2003,"Battles","Military Forces of Burundi (1996-2005)","CNDD-FDD: National Council for the Defense of Democracy","Burundi","Gitega","Mutaho",-3.15,29.86,638010,20030601,83.3,"KIGOMA",29.66,-4.88,"M"
"7889",1999,"Violence against civilians","Hutu Rebels","Civilians (Burundi)","Burundi","Mwaro","Cugaro",-3.61,29.76,643870,19991011,78.4,"KIGALI INTL",30.13,-1.96,"M"
"32218",2004,"Battles","Military Forces of  Uganda (1986-)","LRA: Lord's Resistance Army","Sudan","Equatoria","Lomorotok",4.94,32.63,629410,20040318,96.8,"JUBA",31.6,4.86,"M"
"15283",2003,"Battles","Military Forces of Burundi (1996-2005)","CNDD-FDD: National Council for the Defense of Democracy","Burundi","Gitega","Gitega",-3.42,29.93,638010,20030510,83.3,"KIGOMA",29.66,-4.88,"M"
"31566",1999,"Battles","RUF: Revolutionary United Front of Sierra Leone","ECOMOG: Economic Community of West African States Monitoring Group (Sierra Leone)","Sierra Leone","Northern","Magburaka",8.72,-11.94,618180,19990331,95.69,"KINDIA",-12.86,10.05,"H"
"9614",2005,"Riots","Rioters (Madagascar)","3FN: Three National Forces","Madagascar","Antananarivo","Antananarivo",-18.91,47.51,670830,20051217,79.69,"ANTANANARIVO/IVATO",47.48,-18.79,"M"
"18785",2002,"Battles","MPLA:  Popular Movement for the Liberation of Angola (1961-)","","Angola","Huila","Cacula",-14.5,14.11,663100,20020214,85.3,"MONBACA (BENGUELA)",13.41,-12.58,"M"
"4731",2003,"Battles","Mungiki Sect Militia (Kenya)","Unidentified Armed Group (Kenya)","Kenya","Nakuru District","Nakuru",-0.28,36.06,637140,20030104,75,"NAKURU",36.09,-0.26,"M"
"14280",2009,"Violence against civilians","Military Forces of Madagascar (2009-)","Civilians (Madagascar)","Madagascar","Antananarivo","Antananarivo",-18.91,47.51,670830,20091006,82.4,"ANTANANARIVO/IVATO",47.48,-18.79,"M"
"26780",2003,"Violence against civilians","Unidentified Armed Group (Somalia)","Civilians (Somalia)","Somalia","Bay","Baidoa",3.11,43.65,636240,20030616,90.5,"MANDERA",41.86,3.93,"M"
"31340",2002,"Violence against civilians","GIA: Armed Islamic Group of Algeria","Civilians (Algeria)","Algeria","Chlef","Boka'et Sobha",36.14,1.14,604250,20020716,95.19,"CHLEF",1.33,36.21,"H"
"10607",2002,"Riots","Protesters (Madagascar)","","Madagascar","Antananarivo","Antananarivo",-18.91,47.51,670830,20020225,80.59,"ANTANANARIVO/IVATO",47.48,-18.79,"M"
"35276",2000,"Riots","Rioters (Sudan)","Police Forces of Sudan (1989-)","Sudan","Red Sea","Port Sudan",19.1,37.31,626410,20000913,106.69,"PORT SUDAN",37.21,19.58,"H"
"2338",2010,"Riots","Rioters (Kenya)","","Kenya","Nairobi District","Nairobi",-1.28,36.81,637410,20100621,70.5,"DAGORETTI CORNER",36.75,-1.29,"M"
"7688",2000,"Battles","LURD: Liberians for Reconciliation and Democracy","Military Forces of Liberia (1997-2003)","Liberia","Lofa County","Salayea",7.61,-9.5,618490,20001012,78.09,"NZEREKORE",-8.3,7.75,"C"
"1046",2003,"Violence against civilians","ZANU-PF: Zimbabwe African National Union-Patriotic Front Militia","Civilians (Zimbabwe)","Zimbabwe","Mashonaland East","Marondera West",-18.18,31.54,678770,20030611,66.19,"GRASSLANDS",31.46,-18.18,"C"
"19437",1997,"Battles","Military Forces of Rwanda (1994-)","Babembe Militia","Democratic Republic of Congo","Sud-Kivu","Fizi",-4.3,28.94,638010,19970912,86,"KIGOMA",29.66,-4.88,"M"
"3225",1998,"Violence against civilians","Southern Sudan Independence Movement Militia","Civilians (Ethiopia)","Ethiopia","Gambela","Itang",8.19,34.26,633400,19981007,72.3,"LEKEMTE",36.45,9.08,"M"
"16183",1998,"Violence against civilians","Unidentified Armed Group (Swaziland)","Civilians (Swaziland)","Swaziland","Manzini District","Bethany",-26.5,31.26,683960,19981121,84.19,"MANZINI/MATSAPA AIR",31.29,-26.53,"M"
"13761",2004,"Battles","Military Forces of Democratic Republic of Congo (2003-)","FDLR: Democratic Forces for the Liberation of Rwanda","Democratic Republic of Congo","Sud-Kivu","Sange",-3.08,29.11,643900,20040424,82.4,"BUJUMBURA",29.31,-3.31,"M"
"13898",2005,"Battles","Military Forces of  Uganda (1986-)","LRA: Lord's Resistance Army","Sudan","Eastern Equatoria","Nimule",3.59,32.04,636300,20050816,82.4,"GULU",32.33,2.75,"M"
"4960",2001,"Violence against civilians","RCD: Rally for Congolese Democracy (Goma)","Civilians (DRC)","Democratic Republic of Congo","Kivu","Bukavu",-2.5,28.86,637260,20011125,75.19,"KABALE",29.98,-1.25,"M"
"24595",2000,"Battles","ADF: Allied Democratic Forces","UPDF: Military Forces of Uganda (1986-)","Uganda","Bundibugyo District","Semliki National Park",0.81,30.06,636740,20000126,88.9,"KASESE",30.1,0.18,"M"
"33091",2000,"Violence against civilians","Civilians (Namibia)","FAA: Military Forces of Angola (1979-)","Namibia","Kavango","Okavango",-18.5,19.5,680180,20001003,98.59,"RUNDU",19.76,-17.91,"H"
"12451",2003,"Battles","SFTU: Swaziland Federation of Trade Unions (Swaziland)","Police Forces of Swaziland (1986-)","Swaziland","Hhohho District","Mbabane",-26.31,31.13,683960,20030813,81.69,"MANZINI/MATSAPA AIR",31.29,-26.53,"M"
"24722",2008,"Violence against civilians","Police Forces of Zimbabwe  (1980-)","Civilians (MDC - Movement for Democratic Change)","Zimbabwe","Harare","Zengeza",-17.98,31.03,677750,20081202,88.9,"HARARE (KUTSAGA)",31.13,-17.91,"H"
"2373",2002,"Violence against civilians","GIA: Armed Islamic Group of Algeria","Civilians (Algeria)","Algeria","Ain Defla","Oued Chorfa",36.19,2.5,604370,20020929,70.69,"MEDEA",2.73,36.28,"M"
"4973",2002,"Violence against civilians","Police Forces of Zimbabwe  (1980-)","Civilians (Zimbabwe)","Zimbabwe","Harare","Harare",-17.83,31.04,677750,20020309,75.19,"HARARE (KUTSAGA)",31.13,-17.91,"M"
"5563",1999,"Riots","Protesters (Zimbabwe)","","Zimbabwe","Harare","Harare",-17.83,31.04,677750,19991001,75.69,"HARARE (KUTSAGA)",31.13,-17.91,"M"
"12879",2007,"Riots","Protesters (Kenya)","","Kenya","Nakuru District","Nakuru Electoral Comission of Kenya (Offices)",-0.28,36.06,637140,20071225,82,"NAKURU",36.09,-0.26,"M"
"1418",2000,"Battles","FNL: National Forces for the Liberation of the Hutu People","Former Military For Rwanda (1973-1994)","Burundi","Bujumbura","Gitenga",-3.52,29.38,637260,20000208,68,"KABALE",29.98,-1.25,"C"
"21831",2005,"Battles","Congres Panafricain des Jeunes Patriotes (Young Patriots)","MINUCI: United Nations Mission in Cote d'Ivoire Armed Forces","Ivory Coast","Fromager","Gagnoa",6.13,-5.93,655570,20050811,86.9,"GAGNOA",-5.94,6.13,"M"
"25973",2010,"Battles","UPDF: Military Forces of Uganda (1986-)","LRA: Lord's Resistance Army","Central African Republic","Haut Mbomou","Djema",6.05,25.31,646560,20100101,89.59,"BANGASSOU",22.83,4.73,"M"
"23665",2005,"Violence against civilians","Unidentified Armed Group (Somalia)","Civilians (Somalia)","Somalia","Sool","Las Anod",11.16,48.21,632100,20050214,88,"BOSASO",49.18,11.28,"M"
"19474",1998,"Battles","ADF: Allied Democratic Forces","UPDF: Military Forces of Uganda (1986-)","Uganda","Kasesse District","Kilembe",0.23,29.98,636740,19980723,86,"KASESE",30.1,0.18,"M"
"34551",2008,"Violence against civilians","Civilians (CAR)","Unidentified Armed Group (CAR)","Central African Republic","North","Sangodoro",7,18,647500,20080223,102.59,"SARH",18.38,9.14,"H"
"15516",2000,"Riots","","Rioters (Kenya)","Kenya","Nairobi District","Nairobi",-1.28,36.81,637400,20000906,83.5,"JOMO KENYATTA INTL",36.91,-1.31,"H"
"32070",1998,"Riots","Protesters (Zimbabwe)","","Zimbabwe","Bulawayo","Bulawayo",-20.14,28.57,679650,19980302,96.8,"BULAWAYO AIRPORT",28.61,-20.01,"H"
"9371",2007,"Violence against civilians","Unidentified Armed Group (Kenya)","Civilians (Kenya)","Kenya","Kiambu District","Kikuyu Township",-1.16,36.83,637400,20070213,79.5,"JOMO KENYATTA INTL",36.91,-1.31,"M"
"22927",2002,"Violence against civilians","FNL: National Forces for the Liberation of the Hutu People","Civilians (Burundi)","Burundi","Bujumbura","Gikoto",-3.4,29.38,638010,20021022,87.8,"KIGOMA",29.66,-4.88,"M"
"28903",2008,"Battles","SPLA: Sudanese People's Liberation Army","LRA: Lord's Resistance Army","Sudan","East Equatoria","Juba",4.84,31.61,629410,20080924,92.3,"JUBA",31.6,4.86,"M"
"34499",2010,"Battles","Military Forces of Senegal (2000-)","MFDC: Movement of Democratic Forces in the Casamance","Senegal","Ziguinchor","Diaboudior",12.92,-16.28,616950,20100302,102.19,"ZIGUINCHOR",-16.26,12.55,"H"
